S11 dB20 X,S11 dB20 Y,S21 dB20 X,S21 dB20 Y,S31 dB20 X,S31 dB20 Y,S41 dB20 X,S41 dB20 Y
27730000000,-25.90643514503206,27730000000,-0.04026540502164013,27730000000,-26.01491990322279,27730000000,-26.01464471975909
28720000000,-25.60526015507111,28720000000,-0.04265087707679357,28720000000,-25.71369355815703,28720000000,-25.7133983671816
29710000000,-25.31452228249104,29710000000,-0.04511741202288649,29710000000,-25.42291287939571,29710000000,-25.42259697801248
30700000000,-25.03354505980985,30700000000,-0.04766474501560035,30700000000,-25.14190043181115,30700000000,-25.14156311700744
31690000000,-24.76171635379014,31690000000,-0.05029260304838697,31690000000,-24.87004326323933,31690000000,-24.86968383188187
32680000000,-24.49848045377507,32680000000,-0.05300070503217533,32680000000,-24.60678496620976,32680000000,-24.60640271504071
33670000000,-24.24333133967698,33670000000,-0.05578876187282587,33670000000,-24.35161892471688,33670000000,-24.35121315034989
34660000000,-23.99580692468826,34660000000,-0.05865647655567098,34660000000,-24.10408253989646,34660000000,-24.10365253881264
35650000000,-23.75548410814378,35650000000,-0.06160354422927055,35650000000,-23.86375226911881,35650000000,-23.86329733766281
36640000000,-23.52197450549194,36640000000,-0.06462965229075339,36640000000,-23.63023934475066,36640000000,-23.62975877912666
37630000000,-23.29492074713969,37630000000,-0.06773448047341003,37630000000,-23.40318606383304,37630000000,-23.4026791601008
38620000000,-23.07399325759562,38620000000,-0.07091770093877273,38620000000,-23.18226255968242,38620000000,-23.18172861375326
39610000000,-22.85888744201777,39610000000,-0.07417897836629238,39610000000,-22.96716398219245,39610000000,-22.96660228982529
40600000000,-22.64932121985959,40600000000,-0.07751797004586616,40600000000,-22.75760802628804,40600000000,-22.75701788308542
41590000000,-22.44503285547127,41590000000,-0.0809343259751264,41590000000,-22.55333275819529,41590000000,-22.55271345959939
42580000000,-22.24577904376502,42580000000,-0.08442768895414997,42580000000,-22.35409469746238,42580000000,-22.353445538751
43570000000,-22.05133321578882,43570000000,-0.08799769468515334,43570000000,-22.15966711947206,43570000000,-22.15898739575465
44560000000,-21.86148403457906,44560000000,-0.09164397187069875,44560000000,-21.96983854869373,44560000000,-21.96912755490738
45550000000,-21.67603405621729,45550000000,-0.09536614231676227,45550000000,-21.78441141753961,45550000000,-21.78366844844509
46540000000,-21.49479853478844,46540000000,-0.09916382103193026,46540000000,-21.60320086943607,46540000000,-21.6024252196138
47530000000,-21.31760435307478,47530000000,-0.1030366163363127,47530000000,-21.42603368791722,47530000000,-21.42522465176326
48520000000,-21.14428906344028,48520000000,-0.106984129963363,48520000000,-21.25274733612289,48520000000,-21.25190420784498
49510000000,-20.97470002555717,49510000000,-0.1110059571660735,49510000000,-21.08318909333275,49510000000,-21.08231116694625
50500000000,-20.80869362947455,50500000000,-0.1151016868269802,50500000000,-20.91721527700971,50500000000,-20.91630184633363
51490000000,-20.64613459409247,51490000000,-0.1192709015651279,51490000000,-20.75469054038226,51490000000,-20.75374089903525
52480000000,-20.48689533242792,52480000000,-0.1235131778472186,52480000000,-20.59548723693351,52480000000,-20.59450067832981
53470000000,-20.33085537618618,53470000000,-0.127828086098235,53470000000,-20.43948484429952,53470000000,-20.43846066164499
54460000000,-20.17790085311159,54460000000,-0.1322151908141635,54460000000,-20.28656944103079,54460000000,-20.28550692731883
55450000000,-20.02792401141508,55450000000,-0.1366740506727386,55450000000,-20.13663323049565,55450000000,-20.13553167850328
56440000000,-19.88082278628078,56440000000,-0.1412042186490313,56440000000,-19.98957410693988,56440000000,-19.98843280922357
57430000000,-19.73650040406346,57430000000,-0.14580524213128,57430000000,-19.84529525928397,57430000000,-19.84411350817575
58420000000,-19.5948650203131,58420000000,-0.150476663032843,58420000000,-19.70370480878892,58420000000,-19.70248189639226
59410000000,-19.45582938821588,59410000000,-0.1552180179109435,59410000000,-19.56471547719049,59410000000,-19.56345069537632
60400000000,-19.31931055443735,60400000000,-0.1600288380830399,60400000000,-19.42824428226466,60400000000,-19.42693692266727
61390000000,-19.18522957969519,61390000000,-0.1649086497430329,61390000000,-19.29421225815285,61390000000,-19.29286161216592
62380000000,-19.05351128168809,62380000000,-0.1698569740806797,62380000000,-19.16254419807485,62380000000,-19.16114955684735
63370000000,-18.92408399827005,63370000000,-0.1748733273981177,63370000000,-19.03316841730493,63370000000,-19.0317290717371
64360000000,-18.7968793689862,64360000000,-0.1799572212312697,64360000000,-18.90601653453869,64360000000,-18.904531775278
65350000000,-18.67183213329032,65350000000,-0.1851081624664661,65350000000,-18.78102326994999,65350000000,-18.77949238738704
66340000000,-18.54887994393807,66340000000,-0.1903256534622501,66340000000,-18.65812625844832,66340000000,-18.65654854271283
67330000000,-18.42796319420865,67330000000,-0.1956091921661822,67330000000,-18.53726587676988,67330000000,-18.53564061772661
68320000000,-18.30902485774273,68320000000,-0.2009582722382796,68320000000,-18.41838508320848,68320000000,-18.41671157045316
69310000000,-18.19201033990895,69310000000,-0.2063723831693627,69310000000,-18.30142926887889,69310000000,-18.29970679173415
70300000000,-18.07686733971763,70300000000,-0.2118510104021775,70300000000,-18.18634611953815,70300000000,-18.18457396704946
71290000000,-17.96354572139693,71290000000,-0.2173936354507177,71290000000,-18.07308548707816,71290000000,-18.07126294800975
72280000000,-17.85199739483174,72280000000,-0.222999736021788,72280000000,-17.96159926989132,72280000000,-17.95972563272208
73270000000,-17.74217620414252,73270000000,-0.2286687861354628,73270000000,-17.85184130138177,73270000000,-17.84991585430121
74260000000,-17.63403782374844,74260000000,-0.2344002562435984,74260000000,-17.74376724596339,74260000000,-17.7417892768675
75250000000,-17.52753966131932,75250000000,-0.240193613354506,75250000000,-17.63733450196496,75250000000,-17.63530329845218
76240000000,-17.42264076707866,76240000000,-0.2460483211468046,76240000000,-17.53250211086815,76240000000,-17.53041696023519
77230000000,-17.31930174896247,77230000000,-0.2519638400944119,77230000000,-17.42923067243317,77230000000,-17.42709086167098
78220000000,-17.21748469318973,78220000000,-0.2579396275839995,78220000000,-17.32748226521964,78220000000,-17.32528708100929
79210000000,-17.1171530898342,79210000000,-0.2639751380349848,79210000000,-17.22722037212327,79210000000,-17.22496910083183
80200000000,-17.01827176302575,80200000000,-0.2700698230167146,80200000000,-17.12840981053771,80200000000,-17.12610173821414
81190000000,-16.92080680543907,81190000000,-0.2762231313714323,81190000000,-17.03101666681942,81190000000,-17.02865107919045
82180000000,-16.82472551676082,82180000000,-0.2824345093258318,82180000000,-16.9350082347124,82180000000,-16.93258441717841
83170000000,-16.72999634584512,83170000000,-0.2887034006153022,83170000000,-16.84035295748976,83170000000,-16.83787019512067
84160000000,-16.63658883629989,84160000000,-0.295029246596362,84160000000,-16.74702037350487,84160000000,-16.744477951036
85150000000,-16.54447357525951,85150000000,-0.301411486366869,85150000000,-16.65498106495053,85150000000,-16.65237826677845
86140000000,-16.45362214512626,86140000000,-0.3078495568773586,86140000000,-16.56420660956709,86140000000,-16.5615427197455
87130000000,-16.36400707807275,87130000000,-0.314342893052888,87130000000,-16.47466953514127,87130000000,-16.47194383737684
88120000000,-16.27560181312304,88120000000,-0.3208909279016735,88120000000,-16.38634327655404,88120000000,-16.38355505420226
89110000000,-16.18838065563509,89110000000,-0.3274930926322626,89110000000,-16.29920213525642,89110000000,-16.29635067131747
90100000000,-16.10231873902811,90100000000,-0.3341488167657229,90100000000,-16.21322124097754,90100000000,-16.21030581809212
91090000000,-16.01739198860621,91090000000,-0.3408575282493166,91090000000,-16.12837651553548,91090000000,-16.12539641598063
92080000000,-15.93357708734283,92080000000,-0.3476186535672932,92080000000,-16.04464463861031,92080000000,-16.04159914429524
93070000000,-15.85085144350055,93070000000,-0.3544316178507956,93070000000,-15.96200301534621,93070000000,-15.95889140780817
94060000000,-15.76919315996794,94060000000,-0.3612958449898928,94060000000,-15.88042974568343,94060000000,-15.87725130608348
95050000000,-15.68858100520768,95050000000,-0.368210757741201,95050000000,-15.79990359529382,95050000000,-15.79665760441267
96040000000,-15.6089943857145,96040000000,-0.3751757778360869,96040000000,-15.72040396802691,96040000000,-15.71708970626072
97030000000,-15.53041331988969,97030000000,-0.3821903260888156,97030000000,-15.64191087977908,97030000000,-15.63852762713529
98020000000,-15.4528184132468,98020000000,-0.3892538225020586,98020000000,-15.56440493368972,98020000000,-15.56095196978281
99010000000,-15.37619083486784,99010000000,-0.3963656863709681,99010000000,-15.4878672965868,99010000000,-15.48434390063413
100000000000,-15.30051229503426,100000000000,-0.4035253363894372,100000000000,-15.41227967661519,100000000000,-15.40868512743275
